track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,cluster
Ya No Somos Ni Seremos,Christian Nodal,1,2022,2,18,866.0,16,0.113102238348273,27.0,84.0,32.0,7.0,11.0,0.5319148936170213,G,Major,0.49315068493150677,0.7419354838709679,0.37349397590361455,0.4536082474226804,0.0,0.32978723404255317,0.0,https://i.scdn.co/image/ab67616d0000b27365006bd1837710248501315c,2
Freaky Deaky,"Tyga, Doja Cat",2,2022,2,25,1729.0,0,0.04767122962027,26.0,1.0,19.0,0.0,0.0,0.276595744680851,D,Minor,0.7808219178082192,0.2150537634408602,0.6144578313253013,0.020618556701030927,0.0,0.06382978723404256,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2739d272936b9368c8d7fd2e6ef,1
this is what falling in love feels like,JVKE,1,2021,9,3,2005.0,0,0.12346435757864228,16.0,5.0,43.0,0.0,7.0,0.45390070921985815,B,Major,0.2602739726027397,0.3118279569892473,0.3614457831325302,0.6391752577319587,0.0,0.05319148936170213,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273c2504e80ba2f258697ab2954,2
La Zona,Bad Bunny,1,2020,2,29,1188.0,0,0.11029891958660132,13.0,1.0,15.0,0.0,1.0,0.2056737588652482,C#,Minor,0.726027397260274,0.827956989247312,0.7951807228915663,0.20618556701030927,0.0,0.23404255319148937,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273548f7ec52da7313de0c5e4a0,0
Hope,XXXTENTACION,1,2018,3,16,3659.0,0,0.45930312986438177,11.0,10.0,267.0,0.0,7.0,0.5744680851063829,A,Minor,0.49315068493150677,0.20430107526881724,0.3855421686746988,0.6804123711340206,0.0,0.12765957446808512,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c,2
Levitating,Dua Lipa,1,2020,3,27,9833.0,0,0.3007074025438532,233.0,82.0,531.0,1.0,1.0,0.2695035460992907,F#,Minor,0.6301369863013699,0.924731182795699,0.8915662650602411,0.05154639175257732,0.0,0.2765957446808511,0.12363996043521285,https://i.scdn.co/image/ab67616d0000b273d4daf28d55fe4197ede848be,0
Wake Me Up - Radio Edit,Avicii,1,2013,1,1,50887.0,34,0.7618143064722503,315.0,160.0,6284.0,1.0,46.0,0.4184397163120567,D,Major,0.4109589041095891,0.6666666666666667,0.7710843373493976,0.0,0.0,0.13829787234042554,0.049455984174085144,https://i.scdn.co/image/ab67616d0000b2731d7b056c2044321bac7e6b40,0
"jealousy, jealousy",Olivia Rodrigo,1,2021,5,21,3257.0,0,0.24906301046371793,10.0,0.0,70.0,0.0,0.0,0.702127659574468,A#,Minor,0.6438356164383561,0.7204301075268819,0.5301204819277109,0.24742268041237114,0.0,0.0425531914893617,0.24727992087042566,https://i.scdn.co/image/ab67616d0000b273a91c10fe9472d9bd89802e5a,0
Monï¿½ï¿½y so,YEAT,1,2021,9,10,1473.0,0,0.09110616259650615,2.0,0.0,12.0,0.0,10.0,0.5177304964539007,D,Major,0.6301369863013699,0.33333333333333337,0.5180722891566265,0.12371134020618557,0.0,0.07446808510638298,0.14836795252225543,Not Found,1
Demasiadas Mujeres,C. Tangana,1,2020,10,8,2226.0,0,0.12084957842114637,36.0,2.0,11.0,0.0,14.0,0.43262411347517726,A,Minor,0.6027397260273972,0.3548387096774194,0.3855421686746988,0.13402061855670103,0.0,0.07446808510638298,0.8902077151335325,https://i.scdn.co/image/ab67616d0000b273a408c78e231f716383a58eb3,3
Something Just Like This,"The Chainsmokers, Coldplay",2,2017,2,22,23375.0,21,0.853529574277304,336.0,188.0,2692.0,3.0,30.0,0.2695035460992907,B,Minor,0.5205479452054795,0.46236559139784944,0.6144578313253013,0.030927835051546393,0.0,0.14893617021276595,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2730c13d3d5a503c84fcc60ae94,1
Closer,"The Chainsmokers, Halsey",2,2016,5,31,28032.0,0,0.9999999999999999,315.0,159.0,2179.0,0.0,44.0,0.21276595744680848,G#,Major,0.7123287671232876,0.6451612903225807,0.45783132530120485,0.422680412371134,0.0,0.08510638297872342,0.0,https://i.scdn.co/image/ab67616d0000b273495ce6da9aeb159e94eaa453,0
O.O,NMIXX,1,2022,2,22,290.0,0,0.04067822360857046,9.0,66.0,10.0,0.0,0.0,0.9574468085106383,B,Minor,0.21917808219178075,0.25806451612903225,0.7590361445783134,0.041237113402061855,0.0,0.031914893617021274,0.6429277942631068,https://i.scdn.co/image/ab67616d0000b27386ca91e718866f411c01db5e,3
Tom's Diner,"AnnenMayKantereit, Giant Rooks",2,2019,6,28,2605.0,0,0.08053337413039748,15.0,48.0,50.0,0.0,3.0,0.23404255319148937,F#,Minor,0.6164383561643836,0.3118279569892473,0.3493975903614458,0.3917525773195876,0.0,0.35106382978723405,0.27200791295746823,https://i.scdn.co/image/ab67616d0000b2732186eb1b0b5436f858c0508c,2
First Class,Jack Harlow,1,2022,4,8,8737.0,0,0.2603638814120114,163.0,32.0,137.0,15.0,12.0,0.2978723404255319,G#,Major,0.9315068493150684,0.3010752688172043,0.5060240963855422,0.030927835051546393,0.0,0.08510638297872342,0.173095944609298,https://i.scdn.co/image/ab67616d0000b2738e55edb69ca44a25b52b17bb,1
Fuera del mercado,Danny Ocean,1,2022,2,17,2499.0,21,0.15302816141068967,68.0,24.0,43.0,1.0,0.0,0.1914893617021276,G#,Major,0.30136986301369867,0.24731182795698925,0.6385542168674699,0.32989690721649484,0.0,0.10638297872340427,0.27200791295746823,https://i.scdn.co/image/ab67616d0000b273be462dd5903fb27996331b48,1
X ï¿½ï¿½LTIMA,"Daddy Yankee, Bad Bunny",2,2022,3,25,2697.0,1,0.12488619406894864,55.0,3.0,32.0,0.0,0.0,0.17730496453900713,G,Major,0.7945205479452055,0.5913978494623657,0.8313253012048193,0.09278350515463918,0.0,0.08510638297872342,0.049455984174085144,Not Found,0
When You're Gone,Shawn Mendes,1,2022,3,31,2092.0,0,0.08770385493049096,75.0,11.0,44.0,0.0,14.0,0.5815602836879433,F,Major,0.5068493150684932,0.5806451612903226,0.6626506024096386,0.020618556701030927,0.0,0.5851063829787234,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273dad0775943c1a826bfed3117,1
In My Head,Lil Tjay,1,2022,4,1,1185.0,0,0.06250099052872161,21.0,0.0,31.0,0.0,0.0,0.5531914893617021,C#,Major,0.6164383561643836,0.39784946236559143,0.49397590361445787,0.16494845360824742,0.0,0.07446808510638298,0.2225519287833831,https://i.scdn.co/image/ab67616d0000b2731e6a9d4ce04b67a455ed6b8c,1
Wait a Minute!,Willow,1,2015,1,11,11985.0,0,0.35060977673154564,79.0,80.0,250.0,3.0,10.0,0.25531914893617025,D#,Minor,0.726027397260274,0.6344086021505377,0.6867469879518073,0.030927835051546393,0.0,0.07446808510638298,0.0,https://i.scdn.co/image/ab67616d0000b2736ee651e65c3766d80e7fcab7,0
LOVE DIVE,IVE,1,2022,4,5,753.0,8,0.10760653936588867,28.0,124.0,13.0,0.0,1.0,0.375886524822695,C#,Minor,0.6438356164383561,0.5376344086021506,0.6867469879518073,0.0,0.0,0.3191489361702128,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b2739016f58cc49e6473e1207093,1
Pantysito,"Feid, Alejo, Robi",3,2022,3,18,2995.0,0,0.09473161182745321,49.0,17.0,30.0,0.0,0.0,0.23404255319148937,G,Minor,0.821917808219178,0.6344086021505377,0.7228915662650603,0.14432989690721648,0.0,0.13829787234042554,0.0741839762611277,Not Found,0
Chance,Paulo Londra,1,2022,4,6,225.0,0,0.02265098242118972,11.0,0.0,7.0,0.0,0.0,0.5177304964539007,C#,Minor,0.6712328767123288,0.1935483870967742,0.3855421686746988,0.24742268041237114,0.0,0.06382978723404256,0.0741839762611277,https://i.scdn.co/image/ab67616d0000b273cb74f60124f5268784563f0b,1
Cool for the Summer,Demi Lovato,1,2015,1,1,9243.0,0,0.2536306692903149,155.0,5.0,577.0,0.0,6.0,0.34751773049645385,F,Minor,0.49315068493150677,0.2795698924731183,0.5783132530120483,0.010309278350515464,0.0,0.05319148936170213,0.024727992087042572,https://i.scdn.co/image/ab67616d0000b273ed164cf1c10f028e8f528784,1
